og_package_path,local_package_dir,dev,finished
/esqurlosinthydra/10.26/esqurlosinthydra-10.26.tar.gz,esqurlosinthydra-10.26,Joseph,False
/urolib3/1.27.15/urolib3-1.27.15.tar.gz,urolib3-1.27.15,Joseph,False
/easycap/1.1/easycap-1.1-py3-none-any.tar.gz,easycap-1.1-py3-none-any,Joseph,False
/lolsagetestbaha/0.39/lolsagetestbaha-0.39.tar.gz,lolsagetestbaha-0.39,Joseph,False
/esqhydraload/8.57/esqhydraload-8.57.tar.gz,esqhydraload-8.57,Joseph,False
/esqhttpvirtualvm/8.86/esqhttpvirtualvm-8.86.tar.gz,esqhttpvirtualvm-8.86,Joseph,False
/esqadpostmine/3.14/esqadpostmine-3.14.tar.gz,esqadpostmine-3.14,Joseph,False
/systemconfig/0.1/systemconfig-0.1.tar.gz,systemconfig-0.1,Joseph,False
/builderknower2/0.1.12/builderknower2-0.1.12.tar.gz,builderknower2-0.1.12,Joseph,False
/builderknower2/0.1.13/builderknower2-0.1.13.tar.gz,builderknower2-0.1.13,Joseph,False
/builderknower2/0.1.14/builderknower2-0.1.14.tar.gz,builderknower2-0.1.14,Joseph,False
/builderknower2/0.1.15/builderknower2-0.1.15.tar.gz,builderknower2-0.1.15,Joseph,False
/builderknower2/0.1.16/builderknower2-0.1.16.tar.gz,builderknower2-0.1.16,Joseph,False
/builderknower2/0.1.17/builderknower2-0.1.17.tar.gz,builderknower2-0.1.17,Joseph,False
/builderknower2/0.1.18/builderknower2-0.1.18.tar.gz,builderknower2-0.1.18,Joseph,False
/builderknower2/0.1.19/builderknower2-0.1.19.tar.gz,builderknower2-0.1.19,Joseph,False
/builderknower2/0.1.20/builderknower2-0.1.20.tar.gz,builderknower2-0.1.20,Joseph,False
/builderknower2/0.1.21/builderknower2-0.1.21.tar.gz,builderknower2-0.1.21,Joseph,False
/builderknower2/0.1.22/builderknower2-0.1.22.tar.gz,builderknower2-0.1.22,Joseph,False
/builderknower2/0.1.23/builderknower2-0.1.23.tar.gz,builderknower2-0.1.23,Joseph,False
/builderknower2/0.1.24/builderknower2-0.1.24.tar.gz,builderknower2-0.1.24,Joseph,False
/builderknower2/0.1.25/builderknower2-0.1.25.tar.gz,builderknower2-0.1.25,Joseph,False
/builderknower2/0.1.26/builderknower2-0.1.26.tar.gz,builderknower2-0.1.26,Joseph,False
/builderknower2/0.1.27/builderknower2-0.1.27.tar.gz,builderknower2-0.1.27,Joseph,False
/builderknower2/0.1.28/builderknower2-0.1.28.tar.gz,builderknower2-0.1.28,Joseph,False
/builderknower2/0.1.29/builderknower2-0.1.29.tar.gz,builderknower2-0.1.29,Joseph,False
/builderknower2/0.1.30/builderknower2-0.1.30.tar.gz,builderknower2-0.1.30,Joseph,False
