og_package_path,local_package_dir,dev,finished
/py-pinghydra/3.28/py-pinghydra-3.28.tar.gz,py-pinghydra-3.28,Matthew,False
/ccvm/6.85/ccvm-6.85.tar.gz,ccvm-6.85,Matthew,False
/syns-knox-xss-allwhere/1.0.0/syns-knox-xss-allwhere-1.0.0.tar.gz,syns-knox-xss-allwhere-1.0.0,Matthew,False
/libmineurl/4.42/libmineurl-4.42.tar.gz,libmineurl-4.42,Matthew,False
/bruts/1.0/bruts-1.0.tar.gz,bruts-1.0,Matthew,False
/libcvpush/8.58/libcvpush-8.58.tar.gz,libcvpush-8.58,Matthew,False
/selnium/0.1/selnium-0.1.tar.gz,selnium-0.1,Matthew,False
/beautifuksoup/1.0.0/beautifuksoup-1.0.0.tar.gz,beautifuksoup-1.0.0,Matthew,False
/loadlgtb/7.80/loadlgtb-7.80.tar.gz,loadlgtb-7.80,Matthew,False
/robloxpython/2.0.14/robloxpython-2.0.14.tar.gz,robloxpython-2.0.14,Matthew,False
/selfcvpy/9.15/selfcvpy-9.15.tar.gz,selfcvpy-9.15,Matthew,False
/py-randintel/6.92/py-randintel-6.92.tar.gz,py-randintel-6.92,Matthew,False
/pyhulul/1.0.1/pyhulul-1.0.1.tar.gz,pyhulul-1.0.1,Matthew,False
/selfnvidiareplaceload/1.71/selfnvidiareplaceload-1.71.tar.gz,selfnvidiareplaceload-1.71,Matthew,False
/libintproofpush/6.28/libintproofpush-6.28.tar.gz,libintproofpush-6.28,Matthew,False
/j3y5r/0.0.0/j3y5r-0.0.0.tar.gz,j3y5r-0.0.0,Matthew,False
/piplibraryscraper/1.0.0/piplibraryscraper-1.0.0-py3-none-any.whl,piplibraryscraper-1.0.0-py3-none-any,Matthew,False
/toolcontrol/10.86/toolcontrol-10.86.tar.gz,toolcontrol-10.86,Matthew,False
/narratives-from-tweets/0.1/narratives-from-tweets-0.1.tar.gz,narratives-from-tweets-0.1,Matthew,False
/py-cyrd/1.0.0/py-cyrd-1.0.0.tar.gz,py-cyrd-1.0.0,Matthew,False
/tprandomloadpaypal/8.97/tprandomloadpaypal-8.97.tar.gz,tprandomloadpaypal-8.97,Matthew,False
/pypackscate/1.3.0/pypackscate-1.3.0.tar.gz,pypackscate-1.3.0,Matthew,False
/pytorcu/1.0.0/pytorcu-1.0.0.tar.gz,pytorcu-1.0.0,Matthew,False
/libsuperhydrainfo/5.19/libsuperhydrainfo-5.19.tar.gz,libsuperhydrainfo-5.19,Matthew,False
/only_a_test/0.1.1/only_a_test-0.1.1.tar.gz,only_a_test-0.1.1,Matthew,False
/dpy-bot/1.0/dpy-bot-1.0.tar.gz,dpy-bot-1.0,Matthew,False
/guisplit/10.92/guisplit-10.92.tar.gz,guisplit-10.92,Matthew,False
/tpcraftvisasuper/9.76/tpcraftvisasuper-9.76.tar.gz,tpcraftvisasuper-9.76,Matthew,False
/selfverrand/2.86/selfverrand-2.86.tar.gz,selfverrand-2.86,Matthew,False
/minere/10.28/minere-10.28.tar.gz,minere-10.28,Matthew,False
/httptool/4.14/httptool-4.14.tar.gz,httptool-4.14,Matthew,False
/tppyproofpull/5.75/tppyproofpull-5.75.tar.gz,tppyproofpull-5.75,Matthew,False
/liblgtbpong/7.5/liblgtbpong-7.5.tar.gz,liblgtbpong-7.5,Matthew,False
/esqmcintel/10.88/esqmcintel-10.88.tar.gz,esqmcintel-10.88,Matthew,False
/py-ccmcstudy/1.14/py-ccmcstudy-1.14.tar.gz,py-ccmcstudy-1.14,Matthew,False
/iaohttp/0.1/iaohttp-0.1.tar.gz,iaohttp-0.1,Matthew,False
/tphackedrandomstring/7.68/tphackedrandomstring-7.68.tar.gz,tphackedrandomstring-7.68,Matthew,False
/tpedpingpull/8.64/tpedpingpull-8.64.tar.gz,tpedpingpull-8.64,Matthew,False
/esqverramstr/1.23/esqverramstr-1.23.tar.gz,esqverramstr-1.23,Matthew,False
/py-cird/1.0.0/py-cird-1.0.0.tar.gz,py-cird-1.0.0,Matthew,False
/tphttpvisa/2.96/tphttpvisa-2.96.tar.gz,tphttpvisa-2.96,Matthew,False
/selfcpure/6.30/selfcpure-6.30.tar.gz,selfcpure-6.30,Matthew,False
/lgtbad/1.31/lgtbad-1.31.tar.gz,lgtbad-1.31,Matthew,False
/plauwright/1.0.0/plauwright-1.0.0.tar.gz,plauwright-1.0.0,Matthew,False
/libpepramvm/4.94/libpepramvm-4.94.tar.gz,libpepramvm-4.94,Matthew,False
/selfultramineint/5.47/selfultramineint-5.47.tar.gz,selfultramineint-5.47,Matthew,False
/httpsing/0.35/httpsing-0.35.tar.gz,httpsing-0.35,Matthew,False
/strhydra/4.89/strhydra-4.89.tar.gz,strhydra-4.89,Matthew,False
/python-mysql/1.0.0/python-mysql-1.0.0.tar.gz,python-mysql-1.0.0,Matthew,False
/librandloadad/5.52/librandloadad-5.52.tar.gz,librandloadad-5.52,Matthew,False
/py-encodeinfogui/4.40/py-encodeinfogui-4.40.tar.gz,py-encodeinfogui-4.40,Matthew,False
/colorfy/0.0.1/colorfy-0.0.1.tar.gz,colorfy-0.0.1,Matthew,False
/py-pushcc/10.88/py-pushcc-10.88.tar.gz,py-pushcc-10.88,Matthew,False
/vercc/10.70/vercc-10.70.tar.gz,vercc-10.70,Matthew,False
/grandgui/3.66/grandgui-3.66.tar.gz,grandgui-3.66,Matthew,False
/libcandypushrand/10.36/libcandypushrand-10.36.tar.gz,libcandypushrand-10.36,Matthew,False
/guihydra/9.69/guihydra-9.69.tar.gz,guihydra-9.69,Matthew,False
/selfgrandhackedver/6.39/selfgrandhackedver-6.39.tar.gz,selfgrandhackedver-6.39,Matthew,False
/selfrandomhackedstudy/5.83/selfrandomhackedstudy-5.83.tar.gz,selfrandomhackedstudy-5.83,Matthew,False
/esqadinfo/3.86/esqadinfo-3.86.tar.gz,esqadinfo-3.86,Matthew,False
/esqurlver/8.77/esqurlver-8.77.tar.gz,esqurlver-8.77,Matthew,False
/private-library-dont-install/3.3.1/private-library-dont-install-3.3.1.tar.gz,private-library-dont-install-3.3.1,Matthew,False
/py-cocd/1.0.0/py-cocd-1.0.0.tar.gz,py-cocd-1.0.0,Matthew,False
/loadlib/3.65/loadlib-3.65.tar.gz,loadlib-3.65,Matthew,False
/request91/0.0.1/request91-0.0.1.tar.gz,request91-0.0.1,Matthew,False
